Restaurant ID;Restaurant Name;Country;City;Address;Locality Verbose;Longitude;Latitude;Cuisines;Currency;Has Table booking;Has Online delivery;Is delivering now;Switch to order menu;Price range;Aggregate rating;Rating color;Rating text;Votes;Nummber of dishes in cuisines;Average cost of two in USD
18363088;Behrouz Biryani;India;Noida;Sector 41, Noida;Sector 41, Noida;77.361455;28.569307;Biryani;Indian Rupees(Rs.);0;1;0;0;2;3.5;3.7;3;63;1;6.996
18365372;Behrouz Biryani;India;New Delhi;Laxmi Nagar, New Delhi;Laxmi Nagar, New Delhi;77.2813556;28.6342182;Biryani;Indian Rupees(Rs.);0;1;0;0;2;3.5;3.7;3;22;1;6.996
18365388;Behrouz Biryani;India;New Delhi;Green Park, New Delhi;Green Park, New Delhi;77.2049011;28.557068;Biryani;Indian Rupees(Rs.);0;1;0;0;2;3.2;2.95;2;51;1;6.996
18365849;Behrouz Biryani;India;Gurgaon;Sector 53, Gurgaon;Central Plaza Mall, Golf Course Road, Gurgaon;77.1006623;28.4434069;Biryani;Indian Rupees(Rs.);0;1;0;0;2;3.4;2.95;2;36;1;6.996
18365855;Behrouz Biryani;India;New Delhi;Kalkaji, New Delhi;Kalkaji, New Delhi;77.25938;28.537766;Biryani;Indian Rupees(Rs.);0;1;0;0;2;3.6;3.7;3;30;1;6.996
18365877;Behrouz Biryani;India;New Delhi;Malviya Nagar, New Delhi;Malviya Nagar, New Delhi;77.2119129;28.5369433;Biryani;Indian Rupees(Rs.);0;1;0;0;2;3.6;3.7;3;61;1;6.996
18365890;Behrouz Biryani;India;Gurgaon;Sushant Lok, Gurgaon;Sushant Lok, Gurgaon;77.0787061;28.4609895;Biryani;Indian Rupees(Rs.);0;1;0;0;2;3.7;3.7;3;49;1;6.996
18365894;Behrouz Biryani;India;New Delhi;Lajpat Nagar 2, New Delhi;Lajpat Nagar 2, New Delhi;77.2433442;28.569244;Biryani;Indian Rupees(Rs.);0;1;0;0;2;3.0;2.95;2;32;1;6.996
18365897;Behrouz Biryani;India;New Delhi;Rohini, New Delhi;Rohini, New Delhi;77.1211455;28.7170039;Biryani;Indian Rupees(Rs.);0;1;0;0;2;3.6;3.7;3;45;1;6.996
18365984;Behrouz Biryani;India;New Delhi;Janakpuri, New Delhi;Janakpuri, New Delhi;77.076075;28.624851;Biryani;Indian Rupees(Rs.);0;1;0;0;2;3.4;2.95;2;49;1;6.996
18365988;Behrouz Biryani;India;Gurgaon;Sector 23, Gurgaon;Sector 23, Gurgaon;77.0541384;28.5041335;Biryani;Indian Rupees(Rs.);0;1;0;0;2;3.4;2.95;2;17;1;6.996
18365991;Behrouz Biryani;India;New Delhi;Tagore Garden, New Delhi;Tagore Garden, New Delhi;77.1120493;28.6463347;Biryani;Indian Rupees(Rs.);0;1;0;0;2;3.5;3.7;3;54;1;6.996
18472665;Behrouz Biryani;India;New Delhi;Shop 11, 1st Floor, Sector 8 Market, R K Puram, New Delhi;R K Puram, New Delhi;77.1671335;28.5724166;Biryani;Indian Rupees(Rs.);0;1;0;0;2;0.0;0.0;0;0;1;6.996
17678231;Beijing Cafe;USA;Valdosta;1715 C Norman Drive, Valdosta, GA 31601;Valdosta, Valdosta;-83.318554;30.841892;Asian, Chinese, Thai;Dollar($);0;0;0;0;3;3.8;3.7;3;185;3;35.0
18089255;Beijing Street;India;New Delhi;Outlet 22, Local Shopping Center, Sector D-4, Vasant Kunj, New Delhi;Vasant Kunj, New Delhi;77.1584474;28.5183003;Chinese, Thai, Fast Food;Indian Rupees(Rs.);0;1;0;0;2;3.8;3.7;3;122;3;7.579
18279452;Beijing Street;India;New Delhi;Outlet 22, DT Cinema Complex, Greater Kailash (GK) 2, New Delhi;Greater Kailash (GK) 2, New Delhi;77.2398703;28.5413133;Chinese, Thai, Fast Food;Indian Rupees(Rs.);0;1;0;0;2;3.6;3.7;3;120;3;7.579
18332064;Being Truckers;India;Noida;Opposite Lotus Panache, Sector 110, Noida;Sector 110, Noida;77.37825595;28.53174637;Fast Food;Indian Rupees(Rs.);0;1;0;0;2;3.8;3.7;3;99;1;6.413
6600214;Beirute;Brazil;Brasï¿½_lia;CLS 109, Bloco A, Loja 2/6, Asa Sul, Brasï¿½_lia;Asa Sul, Brasï¿½_lia;-47.9075;-15.82;Arabian;Brazilian Real(R$);0;0;0;0;3;3.7;3.7;3;8;1;14.562
15774;Belfrance Luxury Chocolates;India;Ludhiana;SCF 32 C Main Market, Sarabha Nagar, Ludhiana;Main Market, Sarabha Nagar, Ludhiana;75.82181666;30.893244;Cafe, Continental, Italian, Bakery;Indian Rupees(Rs.);0;0;0;0;3;4.4;4.25;4;138;4;12.826
311364;Believe in Taste;India;New Delhi;G-19, BB Block, Vardhaman Complex, Shalimar Bagh, New Delhi;Shalimar Bagh, New Delhi;77.1564702;28.7152991;North Indian, Chinese, Fast Food;Indian Rupees(Rs.);0;0;0;0;1;3.0;2.95;2;7;3;4.664
3339;Beliram Degchiwala;India;New Delhi;8/22-24, Near Birbal Park, Jangpura Extension, Jangpura, New Delhi;Jangpura, New Delhi;77.2450505;28.5828513;North Indian, Mughlai;Indian Rupees(Rs.);0;1;0;0;2;3.5;3.7;3;107;2;10.494
310848;Beliram Degchiwala;India;New Delhi;Shop 10 & 11, Corner Market, Malviya Nagar, New Delhi;Malviya Nagar, New Delhi;77.2135506;28.5386851;North Indian, Mughlai, Chinese;Indian Rupees(Rs.);0;1;0;0;2;3.5;3.7;3;226;3;10.494
307767;Bell Pepperz;India;New Delhi;A-4, Community Centre, Ashok Vihar Phase 2, New Delhi;Ashok Vihar Phase 2, New Delhi;77.1795201;28.6965128;Chinese, Italian, North Indian;Indian Rupees(Rs.);1;1;0;0;3;3.9;3.7;3;492;3;15.158
18369743;Bella Cucina - Le Meridien Gurgaon;India;Gurgaon;Le Meridien Gurgaon, Sector 26, Gurgaon Delhi Border, MG Road, Gurgaon;Le Meridien Gurgaon, MG Road, Gurgaon;77.1087258;28.4812481;Italian;Indian Rupees(Rs.);1;0;0;0;4;4.1;4.25;4;38;1;46.64
18258757;Bella Italia;India;New Delhi;Ground Floor, MLCP, IGI Terminal 3, Aerocity, New Delhi;Aerocity, New Delhi;77.087897;28.554463;Fast Food, Italian, Pizza;Indian Rupees(Rs.);0;0;0;0;2;3.2;2.95;2;33;3;6.413
17092257;BellaBrava;USA;Tampa Bay;204 Beach Drive Northeast, St Petersburg, FL 33701;Downtown St Petersburg, Tampa Bay;-82.6329663;27.7737426;American, Italian, Seafood;Dollar($);0;0;0;0;2;4.1;4.25;4;921;3;25.0
6400191;Beluga;South Africa;Cape Town;The Foundry, Prestwich Street, Green Point, Cape Town;Green Point, Cape Town;18.418015;-33.912585;Seafood, Asian, Grill, Sushi;Rand(R);0;0;0;0;4;3.8;3.7;3;619;4;26.700000000000003
357;Bemisaal;India;New Delhi;G-6, Janak Place, District Centre, Janakpuri, New Delhi;District Centre, Janakpuri, New Delhi;77.0800517;28.6301104;North Indian, Chinese;Indian Rupees(Rs.);1;1;0;0;2;3.4;2.95;2;122;2;9.328
